[2023-09-28 19:04:15.563203] [gNB 1][rsc 0][Rx 0][sfn 380][slot 3] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -59.2 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:04:15.563646] [gNB 2][rsc 0][Rx 0][sfn 380][slot 4] DL PRS ToA ==> 5.5 / 4096 samples, peak channel power -56.8 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-28 19:04:15.564889] [gNB 3][rsc 0][Rx 0][sfn 380][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-28 19:04:15.569448] [gNB 0][rsc 0][Rx 0][sfn 381][slot 2] DL PRS ToA ==> 0.5 / 4096 samples, peak channel power -51.6 dBm, SNR +4.0 dB, rsrp -75.8 dBm

[2023-09-28 19:04:15.569935] [gNB 1][rsc 0][Rx 0][sfn 381][slot 3] DL PRS ToA ==> 0.5 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-28 19:04:15.570376] [gNB 2][rsc 0][Rx 0][sfn 381][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:04:15.570808] [gNB 3][rsc 0][Rx 0][sfn 381][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-28 19:04:15.576050] [gNB 0][rsc 0][Rx 0][sfn 382][slot 2] DL PRS ToA ==> -0.5 / 4096 samples, peak channel power -49.3 dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 19:04:15.576513] [gNB 1][rsc 0][Rx 0][sfn 382][slot 3] DL PRS ToA ==> 0.5 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:04:15.576953] [gNB 2][rsc 0][Rx 0][sfn 382][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-28 19:04:15.577715] [gNB 3][rsc 0][Rx 0][sfn 382][slot 5] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-28 19:04:15.582767] [gNB 0][rsc 0][Rx 0][sfn 383][slot 2] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -52.9 dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-28 19:04:15.583229] [gNB 1][rsc 0][Rx 0][sfn 383][slot 3] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -59.3 dBm, SNR +4.0 dB, rsrp -82.2 dBm

[2023-09-28 19:04:15.583673] [gNB 2][rsc 0][Rx 0][sfn 383][slot 4] DL PRS ToA ==> -1.5 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-28 19:04:15.585048] [gNB 3][rsc 0][Rx 0][sfn 383][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-28 19:04:15.590433] [gNB 0][rsc 0][Rx 0][sfn 384][slot 2] DL PRS ToA ==> -3.5 / 4096 samples, peak channel power -50.6 dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-28 19:04:15.590896] [gNB 1][rsc 0][Rx 0][sfn 384][slot 3] DL PRS ToA ==> -3.0 / 4096 samples, peak channel power -59.5 dBm, SNR +4.0 dB, rsrp -82.6 dBm

[2023-09-28 19:04:15.591332] [gNB 2][rsc 0][Rx 0][sfn 384][slot 4] DL PRS ToA ==> -1.5 / 4096 samples, peak channel power -56.7 dBm, SNR +4.0 dB, rsrp -81.6 dBm

[2023-09-28 19:04:15.591765] [gNB 3][rsc 0][Rx 0][sfn 384][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-28 19:04:15.596086] [gNB 0][rsc 0][Rx 0][sfn 385][slot 2] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -51.3 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 19:04:15.596544] [gNB 1][rsc 0][Rx 0][sfn 385][slot 3] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -59.4 dBm, SNR +4.0 dB, rsrp -80.7 dBm

[2023-09-28 19:04:15.596979] [gNB 2][rsc 0][Rx 0][sfn 385][slot 4] DL PRS ToA ==> -5.0 / 4096 samples, peak channel power -56.7 dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-28 19:04:15.597517] [gNB 3][rsc 0][Rx 0][sfn 385][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-28 19:04:15.602736] [gNB 0][rsc 0][Rx 0][sfn 386][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -51.6 dBm, SNR -2622080.2 dB, rsrp -76.4 dBm

[2023-09-28 19:04:15.603203] [gNB 1][rsc 0][Rx 0][sfn 386][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-28 19:04:15.603638] [gNB 2][rsc 0][Rx 0][sfn 386][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.7 dBm

[2023-09-28 19:04:15.605164] [gNB 3][rsc 0][Rx 0][sfn 386][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -83.0 dBm

[2023-09-28 19:04:15.609414] [gNB 0][rsc 0][Rx 0][sfn 387][slot 2] DL PRS ToA ==> -11.0 / 4096 samples, peak channel power -50.2 dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-28 19:04:15.609877] [gNB 1][rsc 0][Rx 0][sfn 387][slot 3] DL PRS ToA ==> -10.0 / 4096 samples, peak channel power -59.5 dBm, SNR +4.0 dB, rsrp -82.0 dBm

