[2023-09-29 11:15:53.548501] [gNB 3][rsc 0][Rx 0][sfn 900][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.1 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.554163] [gNB 0][rsc 0][Rx 0][sfn 901][slot 2] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -56.4 dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-29 11:15:53.554501] [gNB 1][rsc 0][Rx 0][sfn 901][slot 3] DL PRS ToA ==> 6.5 / 4096 samples, peak channel power -59.1 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:15:53.554838] [gNB 2][rsc 0][Rx 0][sfn 901][slot 4] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.555181] [gNB 3][rsc 0][Rx 0][sfn 901][slot 5] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -57.9 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.560864] [gNB 0][rsc 0][Rx 0][sfn 902][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -56.6 dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-29 11:15:53.561197] [gNB 1][rsc 0][Rx 0][sfn 902][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-29 11:15:53.561539] [gNB 2][rsc 0][Rx 0][sfn 902][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -49.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.562009] [gNB 3][rsc 0][Rx 0][sfn 902][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-29 11:15:53.567499] [gNB 0][rsc 0][Rx 0][sfn 903][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -56.8 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 11:15:53.567846] [gNB 1][rsc 0][Rx 0][sfn 903][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -59.7 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 11:15:53.568165] [gNB 2][rsc 0][Rx 0][sfn 903][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.7 dBm

[2023-09-29 11:15:53.568497] [gNB 3][rsc 0][Rx 0][sfn 903][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.1 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-29 11:15:53.574174] [gNB 0][rsc 0][Rx 0][sfn 904][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -56.7 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:15:53.574504] [gNB 1][rsc 0][Rx 0][sfn 904][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -59.7 dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-29 11:15:53.574848] [gNB 2][rsc 0][Rx 0][sfn 904][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -49.4 dBm, SNR -2622080.2 dB, rsrp +nan dBm

