[2023-09-29 10:54:45.898529] [gNB 1][rsc 0][Rx 0][sfn 214][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-29 10:54:45.899049] [gNB 2][rsc 0][Rx 0][sfn 214][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 10:54:45.899571] [gNB 3][rsc 0][Rx 0][sfn 214][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -48.5 dBm, SNR +4.0 dB, rsrp -68.3 dBm

[2023-09-29 10:54:45.908066] [gNB 0][rsc 0][Rx 0][sfn 215][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.9 dBm

[2023-09-29 10:54:45.908531] [gNB 1][rsc 0][Rx 0][sfn 215][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.1 dBm

[2023-09-29 10:54:45.909015] [gNB 2][rsc 0][Rx 0][sfn 215][slot 4] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -47.3 dBm, SNR +4.0 dB, rsrp -78.0 dBm

[2023-09-29 10:54:45.909544] [gNB 3][rsc 0][Rx 0][sfn 215][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.3 dBm, SNR +4.0 dB, rsrp -68.5 dBm

[2023-09-29 10:54:45.918020] [gNB 0][rsc 0][Rx 0][sfn 216][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -76.1 dBm

[2023-09-29 10:54:45.918532] [gNB 1][rsc 0][Rx 0][sfn 216][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.4 dBm

[2023-09-29 10:54:45.919052] [gNB 2][rsc 0][Rx 0][sfn 216][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp -75.4 dBm

[2023-09-29 10:54:45.919583] [gNB 3][rsc 0][Rx 0][sfn 216][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -48.7 dBm, SNR +4.0 dB, rsrp -68.2 dBm

[2023-09-29 10:54:45.928020] [gNB 0][rsc 0][Rx 0][sfn 217][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.5 dBm

[2023-09-29 10:54:45.928568] [gNB 1][rsc 0][Rx 0][sfn 217][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.8 dBm

[2023-09-29 10:54:45.929045] [gNB 2][rsc 0][Rx 0][sfn 217][slot 4] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -47.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 10:54:45.929539] [gNB 3][rsc 0][Rx 0][sfn 217][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp -68.1 dBm

[2023-09-29 10:54:45.938050] [gNB 0][rsc 0][Rx 0][sfn 218][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-29 10:54:45.938521] [gNB 1][rsc 0][Rx 0][sfn 218][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.2 dBm

[2023-09-29 10:54:45.939026] [gNB 2][rsc 0][Rx 0][sfn 218][slot 4] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -46.9 dBm, SNR +4.0 dB, rsrp -82.6 dBm

[2023-09-29 10:54:45.939513] [gNB 3][rsc 0][Rx 0][sfn 218][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp -68.5 dBm

[2023-09-29 10:54:45.948045] [gNB 0][rsc 0][Rx 0][sfn 219][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.7 dBm

[2023-09-29 10:54:45.948498] [gNB 1][rsc 0][Rx 0][sfn 219][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.9 dBm

[2023-09-29 10:54:45.949051] [gNB 2][rsc 0][Rx 0][sfn 219][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-29 10:54:45.949534] [gNB 3][rsc 0][Rx 0][sfn 219][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.4 dBm, SNR +4.0 dB, rsrp -68.4 dBm

[2023-09-29 10:54:45.958024] [gNB 0][rsc 0][Rx 0][sfn 220][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-29 10:54:45.958502] [gNB 1][rsc 0][Rx 0][sfn 220][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.9 dBm

[2023-09-29 10:54:45.959004] [gNB 2][rsc 0][Rx 0][sfn 220][slot 4] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -47.4 dBm, SNR +4.0 dB, rsrp -79.0 dBm

[2023-09-29 10:54:45.959554] [gNB 3][rsc 0][Rx 0][sfn 220][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -48.2 dBm, SNR +4.0 dB, rsrp -68.0 dBm

