[2023-09-29 10:12:46.086540] [gNB 1][rsc 0][Rx 0][sfn 321][slot 3] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -60.1 dBm, SNR -2622080.2 dB, rsrp -82.8 dBm

[2023-09-29 10:12:46.086832] [gNB 2][rsc 0][Rx 0][sfn 321][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.4 dBm

[2023-09-29 10:12:46.087154] [gNB 3][rsc 0][Rx 0][sfn 321][slot 5] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -58.9 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:12:46.092347] [gNB 0][rsc 0][Rx 0][sfn 322][slot 2] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -52.8 dBm, SNR -2622080.2 dB, rsrp -78.9 dBm

[2023-09-29 10:12:46.092679] [gNB 1][rsc 0][Rx 0][sfn 322][slot 3] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -60.2 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:46.093032] [gNB 2][rsc 0][Rx 0][sfn 322][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.9 dBm

[2023-09-29 10:12:46.093457] [gNB 3][rsc 0][Rx 0][sfn 322][slot 5] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -58.6 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 10:12:46.099048] [gNB 0][rsc 0][Rx 0][sfn 323][slot 2] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -52.6 dBm, SNR -2622080.2 dB, rsrp -79.0 dBm

[2023-09-29 10:12:46.099384] [gNB 1][rsc 0][Rx 0][sfn 323][slot 3] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -60.1 dBm, SNR -2622080.2 dB, rsrp -82.8 dBm

[2023-09-29 10:12:46.099723] [gNB 2][rsc 0][Rx 0][sfn 323][slot 4] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -54.9 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:46.100163] [gNB 3][rsc 0][Rx 0][sfn 323][slot 5] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -58.8 dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-29 10:12:46.105695] [gNB 0][rsc 0][Rx 0][sfn 324][slot 2] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -52.3 dBm, SNR -2622080.2 dB, rsrp -79.1 dBm

[2023-09-29 10:12:46.106016] [gNB 1][rsc 0][Rx 0][sfn 324][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -85.0 dBm

[2023-09-29 10:12:46.106326] [gNB 2][rsc 0][Rx 0][sfn 324][slot 4] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -54.4 dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:12:46.106763] [gNB 3][rsc 0][Rx 0][sfn 324][slot 5] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -58.8 dBm, SNR +4.0 dB, rsrp -83.9 dBm

[2023-09-29 10:12:46.112358] [gNB 0][rsc 0][Rx 0][sfn 325][slot 2] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -52.2 dBm, SNR -2622080.2 dB, rsrp -79.0 dBm

