[2023-09-28 17:11:45.261376] [gNB 0][rsc 0][Rx 0][sfn 1011][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622077.2 dB, rsrp -84.3 dBm

[2023-09-28 17:11:45.261828] [gNB 1][rsc 0][Rx 0][sfn 1011][slot 3] DL PRS ToA ==> 21.0 / 4096 samples, peak channel power -58.6 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.262341] [gNB 2][rsc 0][Rx 0][sfn 1011][slot 4] DL PRS ToA ==> 18.0 / 4096 samples, peak channel power -54.3 dBm, SNR -2622080.2 dB, rsrp -80.7 dBm

[2023-09-28 17:11:45.262872] [gNB 3][rsc 0][Rx 0][sfn 1011][slot 5] DL PRS ToA ==> 18.0 / 4096 samples, peak channel power -54.7 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-28 17:11:45.268082] [gNB 0][rsc 0][Rx 0][sfn 1012][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.2 dBm

[2023-09-28 17:11:45.268543] [gNB 1][rsc 0][Rx 0][sfn 1012][slot 3] DL PRS ToA ==> 21.0 / 4096 samples, peak channel power -58.2 dBm, SNR -2622080.2 dB, rsrp -83.9 dBm

[2023-09-28 17:11:45.269062] [gNB 2][rsc 0][Rx 0][sfn 1012][slot 4] DL PRS ToA ==> 18.0 / 4096 samples, peak channel power -52.8 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-28 17:11:45.269581] [gNB 3][rsc 0][Rx 0][sfn 1012][slot 5] DL PRS ToA ==> 18.0 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -79.2 dBm

[2023-09-28 17:11:45.274784] [gNB 0][rsc 0][Rx 0][sfn 1013][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.0 dBm

[2023-09-28 17:11:45.275253] [gNB 1][rsc 0][Rx 0][sfn 1013][slot 3] DL PRS ToA ==> 24.0 / 4096 samples, peak channel power -58.8 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.275757] [gNB 2][rsc 0][Rx 0][sfn 1013][slot 4] DL PRS ToA ==> 21.0 / 4096 samples, peak channel power -54.7 dBm, SNR +4.0 dB, rsrp -80.5 dBm

[2023-09-28 17:11:45.276183] [gNB 3][rsc 0][Rx 0][sfn 1013][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.1 dBm

[2023-09-28 17:11:45.281388] [gNB 0][rsc 0][Rx 0][sfn 1014][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.4 dBm

[2023-09-28 17:11:45.281836] [gNB 1][rsc 0][Rx 0][sfn 1014][slot 3] DL PRS ToA ==> 23.0 / 4096 samples, peak channel power -60.7 dBm, SNR -2622080.2 dB, rsrp -84.1 dBm

[2023-09-28 17:11:45.282339] [gNB 2][rsc 0][Rx 0][sfn 1014][slot 4] DL PRS ToA ==> 20.0 / 4096 samples, peak channel power -57.0 dBm, SNR +4.0 dB, rsrp -80.2 dBm

[2023-09-28 17:11:45.282884] [gNB 3][rsc 0][Rx 0][sfn 1014][slot 5] DL PRS ToA ==> 19.0 / 4096 samples, peak channel power -54.8 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-28 17:11:45.288096] [gNB 0][rsc 0][Rx 0][sfn 1015][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.0 dBm

[2023-09-28 17:11:45.288547] [gNB 1][rsc 0][Rx 0][sfn 1015][slot 3] DL PRS ToA ==> 26.0 / 4096 samples, peak channel power -58.6 dBm, SNR +4.0 dB, rsrp -83.7 dBm

[2023-09-28 17:11:45.289068] [gNB 2][rsc 0][Rx 0][sfn 1015][slot 4] DL PRS ToA ==> 23.0 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-28 17:11:45.289488] [gNB 3][rsc 0][Rx 0][sfn 1015][slot 5] DL PRS ToA ==> 22.0 / 4096 samples, peak channel power -52.7 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-28 17:11:45.294707] [gNB 0][rsc 0][Rx 0][sfn 1016][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -85.1 dBm

[2023-09-28 17:11:45.295165] [gNB 1][rsc 0][Rx 0][sfn 1016][slot 3] DL PRS ToA ==> 26.0 / 4096 samples, peak channel power -58.2 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.295666] [gNB 2][rsc 0][Rx 0][sfn 1016][slot 4] DL PRS ToA ==> 23.0 / 4096 samples, peak channel power -52.7 dBm, SNR -2622080.2 dB, rsrp -80.3 dBm

[2023-09-28 17:11:45.296193] [gNB 3][rsc 0][Rx 0][sfn 1016][slot 5] DL PRS ToA ==> 23.0 / 4096 samples, peak channel power -54.7 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-28 17:11:45.301418] [gNB 0][rsc 0][Rx 0][sfn 1017][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.0 dBm

[2023-09-28 17:11:45.301877] [gNB 1][rsc 0][Rx 0][sfn 1017][slot 3] DL PRS ToA ==> 29.0 / 4096 samples, peak channel power -58.8 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.302375] [gNB 2][rsc 0][Rx 0][sfn 1017][slot 4] DL PRS ToA ==> 26.0 / 4096 samples, peak channel power -58.5 dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-28 17:11:45.302850] [gNB 3][rsc 0][Rx 0][sfn 1017][slot 5] DL PRS ToA ==> 25.0 / 4096 samples, peak channel power -57.4 dBm, SNR +4.0 dB, rsrp -79.3 dBm

[2023-09-28 17:11:45.308044] [gNB 0][rsc 0][Rx 0][sfn 1018][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.4 dBm

[2023-09-28 17:11:45.308493] [gNB 1][rsc 0][Rx 0][sfn 1018][slot 3] DL PRS ToA ==> 28.0 / 4096 samples, peak channel power -60.3 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.309002] [gNB 2][rsc 0][Rx 0][sfn 1018][slot 4] DL PRS ToA ==> 26.0 / 4096 samples, peak channel power -53.0 dBm, SNR +4.0 dB, rsrp -80.1 dBm

[2023-09-28 17:11:45.309550] [gNB 3][rsc 0][Rx 0][sfn 1018][slot 5] DL PRS ToA ==> 25.0 / 4096 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp -79.1 dBm

[2023-09-28 17:11:45.314753] [gNB 0][rsc 0][Rx 0][sfn 1019][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.1 dBm

[2023-09-28 17:11:45.315198] [gNB 1][rsc 0][Rx 0][sfn 1019][slot 3] DL PRS ToA ==> 31.0 / 4096 samples, peak channel power -58.5 dBm, SNR +4.0 dB, rsrp -83.9 dBm

[2023-09-28 17:11:45.315730] [gNB 2][rsc 0][Rx 0][sfn 1019][slot 4] DL PRS ToA ==> 29.0 / 4096 samples, peak channel power -55.6 dBm, SNR +4.0 dB, rsrp -80.4 dBm

[2023-09-28 17:11:45.316155] [gNB 3][rsc 0][Rx 0][sfn 1019][slot 5] DL PRS ToA ==> 27.0 / 4096 samples, peak channel power -57.5 dBm, SNR -2622080.2 dB, rsrp -79.5 dBm

[2023-09-28 17:11:45.321455] [gNB 0][rsc 0][Rx 0][sfn 1020][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.1 dBm

[2023-09-28 17:11:45.321916] [gNB 1][rsc 0][Rx 0][sfn 1020][slot 3] DL PRS ToA ==> 31.0 / 4096 samples, peak channel power -58.1 dBm, SNR +4.0 dB, rsrp -83.6 dBm

[2023-09-28 17:11:45.322421] [gNB 2][rsc 0][Rx 0][sfn 1020][slot 4] DL PRS ToA ==> 28.0 / 4096 samples, peak channel power -52.5 dBm, SNR -2622080.2 dB, rsrp -80.3 dBm

[2023-09-28 17:11:45.322995] [gNB 3][rsc 0][Rx 0][sfn 1020][slot 5] DL PRS ToA ==> 27.0 / 4096 samples, peak channel power -55.3 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-28 17:11:45.328065] [gNB 0][rsc 0][Rx 0][sfn 1021][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622076.0 dB, rsrp -85.2 dBm

