[2023-09-28 15:09:57.972548] [gNB 3][rsc 0][Rx 0][sfn 63][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.1 dBm

[2023-09-28 15:09:57.981067] [gNB 0][rsc 0][Rx 0][sfn 64][slot 2] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.8 dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-28 15:09:57.981551] [gNB 1][rsc 0][Rx 0][sfn 64][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.4 dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-28 15:09:57.982071] [gNB 2][rsc 0][Rx 0][sfn 64][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.5 dBm, SNR +4.0 dB, rsrp -77.8 dBm

[2023-09-28 15:09:57.982559] [gNB 3][rsc 0][Rx 0][sfn 64][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.2 dBm

[2023-09-28 15:09:57.991069] [gNB 0][rsc 0][Rx 0][sfn 65][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.7 dBm

[2023-09-28 15:09:57.991552] [gNB 1][rsc 0][Rx 0][sfn 65][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-28 15:09:57.992043] [gNB 2][rsc 0][Rx 0][sfn 65][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -59.0 dBm, SNR +4.0 dB, rsrp -76.6 dBm

[2023-09-28 15:09:57.992562] [gNB 3][rsc 0][Rx 0][sfn 65][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.1 dBm

[2023-09-28 15:09:58.001041] [gNB 0][rsc 0][Rx 0][sfn 66][slot 2] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.9 dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 15:09:58.001560] [gNB 1][rsc 0][Rx 0][sfn 66][slot 3] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -52.2 dBm, SNR +4.0 dB, rsrp -72.6 dBm

[2023-09-28 15:09:58.002048] [gNB 2][rsc 0][Rx 0][sfn 66][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.4 dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-28 15:09:58.002569] [gNB 3][rsc 0][Rx 0][sfn 66][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 15:09:58.011047] [gNB 0][rsc 0][Rx 0][sfn 67][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.6 dBm

[2023-09-28 15:09:58.011566] [gNB 1][rsc 0][Rx 0][sfn 67][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-28 15:09:58.012051] [gNB 2][rsc 0][Rx 0][sfn 67][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -59.1 dBm, SNR +4.0 dB, rsrp -76.5 dBm

[2023-09-28 15:09:58.012543] [gNB 3][rsc 0][Rx 0][sfn 67][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.1 dBm

[2023-09-28 15:09:58.021058] [gNB 0][rsc 0][Rx 0][sfn 68][slot 2] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.9 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 15:09:58.021546] [gNB 1][rsc 0][Rx 0][sfn 68][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.7 dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-28 15:09:58.022063] [gNB 2][rsc 0][Rx 0][sfn 68][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.6 dBm, SNR +4.0 dB, rsrp -77.7 dBm

