[2023-09-28 15:44:46.537024] [gNB 1][rsc 0][Rx 0][sfn 414][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.9 dBm

[2023-09-28 15:44:46.537417] [gNB 2][rsc 0][Rx 0][sfn 414][slot 4] DL PRS ToA ==> 49.0 / 4096 samples, peak channel power -53.7 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.537794] [gNB 3][rsc 0][Rx 0][sfn 414][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -78.1 dBm

[2023-09-28 15:44:46.543252] [gNB 0][rsc 0][Rx 0][sfn 415][slot 2] DL PRS ToA ==> 57.0 / 4096 samples, peak channel power -55.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.543652] [gNB 1][rsc 0][Rx 0][sfn 415][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:44:46.544033] [gNB 2][rsc 0][Rx 0][sfn 415][slot 4] DL PRS ToA ==> 54.0 / 4096 samples, peak channel power -55.5 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.544411] [gNB 3][rsc 0][Rx 0][sfn 415][slot 5] DL PRS ToA ==> 55.0 / 4096 samples, peak channel power -54.6 dBm, SNR +4.0 dB, rsrp -78.1 dBm

[2023-09-28 15:44:46.549957] [gNB 0][rsc 0][Rx 0][sfn 416][slot 2] DL PRS ToA ==> 52.0 / 4096 samples, peak channel power -54.1 dBm, SNR -3298746.0 dB, rsrp -74.2 dBm

[2023-09-28 15:44:46.550337] [gNB 1][rsc 0][Rx 0][sfn 416][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:44:46.550716] [gNB 2][rsc 0][Rx 0][sfn 416][slot 4] DL PRS ToA ==> 54.0 / 4096 samples, peak channel power -55.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.551116] [gNB 3][rsc 0][Rx 0][sfn 416][slot 5] DL PRS ToA ==> 55.0 / 4096 samples, peak channel power -54.6 dBm, SNR -3298746.0 dB, rsrp -78.0 dBm

[2023-09-28 15:44:46.556663] [gNB 0][rsc 0][Rx 0][sfn 417][slot 2] DL PRS ToA ==> 61.0 / 4096 samples, peak channel power -52.8 dBm, SNR -3298746.0 dB, rsrp -74.4 dBm

[2023-09-28 15:44:46.557043] [gNB 1][rsc 0][Rx 0][sfn 417][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298742.8 dB, rsrp -87.0 dBm

[2023-09-28 15:44:46.557423] [gNB 2][rsc 0][Rx 0][sfn 417][slot 4] DL PRS ToA ==> 1084.0 / 4096 samples, peak channel power -52.4 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.557818] [gNB 3][rsc 0][Rx 0][sfn 417][slot 5] DL PRS ToA ==> 61.0 / 4096 samples, peak channel power -55.2 dBm, SNR -3298746.0 dB, rsrp -78.0 dBm

[2023-09-28 15:44:46.563275] [gNB 0][rsc 0][Rx 0][sfn 418][slot 2] DL PRS ToA ==> 61.0 / 4096 samples, peak channel power -53.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.563659] [gNB 1][rsc 0][Rx 0][sfn 418][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.9 dBm

[2023-09-28 15:44:46.564052] [gNB 2][rsc 0][Rx 0][sfn 418][slot 4] DL PRS ToA ==> 61.0 / 4096 samples, peak channel power -53.7 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.564432] [gNB 3][rsc 0][Rx 0][sfn 418][slot 5] DL PRS ToA ==> 59.0 / 4096 samples, peak channel power -55.6 dBm, SNR +4.0 dB, rsrp -78.0 dBm

[2023-09-28 15:44:46.569978] [gNB 0][rsc 0][Rx 0][sfn 419][slot 2] DL PRS ToA ==> 66.0 / 4096 samples, peak channel power -55.3 dBm, SNR -3298746.0 dB, rsrp -74.2 dBm

[2023-09-28 15:44:46.570376] [gNB 1][rsc 0][Rx 0][sfn 419][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.8 dBm

[2023-09-28 15:44:46.570758] [gNB 2][rsc 0][Rx 0][sfn 419][slot 4] DL PRS ToA ==> 65.0 / 4096 samples, peak channel power -52.9 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.571140] [gNB 3][rsc 0][Rx 0][sfn 419][slot 5] DL PRS ToA ==> 66.0 / 4096 samples, peak channel power -55.2 dBm, SNR -3298746.0 dB, rsrp -77.9 dBm

[2023-09-28 15:44:46.576589] [gNB 0][rsc 0][Rx 0][sfn 420][slot 2] DL PRS ToA ==> 68.0 / 4096 samples, peak channel power -54.8 dBm, SNR -3298746.0 dB, rsrp -74.4 dBm

[2023-09-28 15:44:46.576970] [gNB 1][rsc 0][Rx 0][sfn 420][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -85.1 dBm

[2023-09-28 15:44:46.577349] [gNB 2][rsc 0][Rx 0][sfn 420][slot 4] DL PRS ToA ==> 63.0 / 4096 samples, peak channel power -54.3 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.577741] [gNB 3][rsc 0][Rx 0][sfn 420][slot 5] DL PRS ToA ==> 66.0 / 4096 samples, peak channel power -54.4 dBm, SNR -3298746.0 dB, rsrp -78.0 dBm

